,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,238.0,800.0,1120.0,1357.0,1946.0,3667.0,1449.0,1723.0,1714.0,1470.0,1969.0,1102.0,1725.0,1701.0,3200.0,2890.0,2304.0
1,0.0,0.0,254.0,939.0,1303.0,1920.0,3872.0,1653.0,1696.0,1445.0,949.0,1926.0,1199.0,1537.0,1357.0,3297.0,2863.0,2141.0
2,0.0,0.0,0.0,657.0,1021.0,1842.0,4049.0,1830.0,1619.0,1751.0,770.0,1644.0,1401.0,1813.0,1140.0,3499.0,2786.0,1860.0
3,0.0,0.0,0.0,0.0,364.0,1596.0,4424.0,2090.0,1378.0,2073.0,1069.0,987.0,2077.0,2164.0,1439.0,4145.0,2225.0,1350.0
4,0.0,0.0,0.0,0.0,0.0,1285.0,4539.0,2205.0,1493.0,2432.0,1428.0,623.0,2282.0,2523.0,1798.0,4269.0,1861.0,1073.0
5,0.0,0.0,0.0,0.0,0.0,0.0,3972.0,1697.0,578.0,3195.0,2191.0,1054.0,2711.0,3371.0,2562.0,4498.0,1232.0,1647.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2563.0,3633.0,4220.0,4786.0,4821.0,3431.0,4231.0,5017.0,3778.0,4332.0,5414.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347.0,2200.0,2502.0,2368.0,1486.0,2212.0,2733.0,3177.0,2539.0,2961.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3031.0,2028.0,1414.0,2499.0,3173.0,2398.0,4278.0,1314.0,2007.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257.0,3127.0,1128.0,151.0,1107.0,3225.0,4407.0,3342.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2097.0,1874.0,1298.0,378.0,3972.0,3275.0,2312.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2879.0,3132.0,2407.0,4853.0,1677.0,593.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1143.0,2154.0,2247.0,3773.0,3324.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.0,3236.0,4418.0,3424.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4262.0,3657.0,2694.0
